,Age,Years of Driving Experience,MoCA Score,Visual Acuity Score (LogMAR)_Right,Visual Acuity Score (LogMAR)_Left
Age,1.0,0.8700465271258168,-0.6056032476713044,0.7470813049418161,0.766184419985936
Years of Driving Experience,0.8700465271258168,1.0,-0.4330722954038354,0.6370107658812404,0.6942475083463779
MoCA Score,-0.6056032476713044,-0.4330722954038354,1.0,-0.2079873329426022,-0.06204144240076955
Visual Acuity Score (LogMAR)_Right,0.7470813049418161,0.6370107658812404,-0.2079873329426022,1.0,0.8073175118484754
Visual Acuity Score (LogMAR)_Left,0.766184419985936,0.6942475083463779,-0.06204144240076955,0.8073175118484754,1.0
